id,web_name,positions,now_cost,start_cost,short_name,total_points,gw_1_points,gw_1_minutes,gw_2_points,gw_2_minutes,gw_3_points,gw_3_minutes,gw_4_points,gw_4_minutes,gw_5_points,gw_5_minutes,gw_6_points,gw_6_minutes,gw_7_points,gw_7_minutes,gw_8_points,gw_8_minutes,gw_9_points,gw_9_minutes,gw_10_points,gw_10_minutes,gw_11_points,gw_11_minutes,gw_12_points,gw_12_minutes,gw_13_points,gw_13_minutes,gw_14_points,gw_14_minutes,gw_15_points,gw_15_minutes,gw_16_points,gw_16_minutes,gw_17_points,gw_17_minutes,gw_18_points,gw_18_minutes,gw_19_points,gw_19_minutes,gw_20_points,gw_20_minutes,gw_21_points,gw_21_minutes,gw_22_points,gw_22_minutes,gw_23_points,gw_23_minutes,gw_24_points,gw_24_minutes,gw_25_points,gw_25_minutes,gw_26_points,gw_26_minutes,gw_27_points,gw_27_minutes,gw_28_points,gw_28_minutes,gw_29_points,gw_29_minutes,gw_30_points,gw_30_minutes,gw_31_points,gw_31_minutes,gw_32_points,gw_32_minutes,gw_33_points,gw_33_minutes,gw_34_points,gw_34_minutes,gw_35_points,gw_35_minutes,gw_36_points,gw_36_minutes,gw_37_points,gw_37_minutes,gw_38_points,gw_38_minutes,in_lineup,on_bench,is_captain,is_vice_captain
263,Pickford,GK,48,45,EVE,153,2,90,0,90,2,90,1,90,3,90,2,90,1,90,9,90,2,90,5,90,2,90,2,90,1,90,7,90,7,90,10,90,6,90,2,90,2,90,2,90,9,90,10,90,2,90,1,90,3,90,4,90,0,90,3,90,0,0,2,90,3,90,8,90,0,90,18,180,10,90,3,90,8,90,1,90,True,False,False,False
5,Gabriel,DEF,54,50,ARS,149,1,4,1,20,0,0,2,90,5,90,1,90,6,90,8,90,1,90,0,0,2,90,2,90,6,90,2,90,1,90,2,90,6,90,10,90,1,90,1,90,17,80,2,90,-1,90,12,90,6,90,2,90,6,90,1,90,0,0,6,90,6,90,6,90,0,90,12,180,1,90,7,90,7,90,1,58,True,False,False,False
20,Saliba,DEF,59,50,ARS,164,5,90,8,90,1,90,2,90,6,90,1,90,6,90,7,90,1,90,7,90,2,90,9,90,6,90,1,90,1,90,2,90,7,90,2,90,1,90,0,90,6,90,2,90,1,90,12,90,6,90,2,90,6,90,2,90,0,0,7,90,7,90,5,90,1,90,14,180,1,90,6,90,9,90,2,90,True,False,False,False
29,White,DEF,61,55,ARS,182,1,90,7,90,1,90,2,90,7,90,4,90,14,90,9,90,0,90,6,65,2,72,0,0,1,1,1,11,4,90,2,90,5,90,1,90,1,90,1,66,6,90,2,90,1,90,9,76,6,68,2,90,13,64,11,90,0,0,6,90,6,90,5,90,5,66,26,180,1,90,6,90,6,90,2,68,True,False,False,False
362,Palmer,MID,63,50,CHE,244,1,10,0,0,0,0,1,28,1,27,1,22,5,77,12,85,6,83,2,90,12,90,6,90,2,74,1,24,8,90,1,90,14,90,1,90,0,0,18,90,10,90,2,84,8,90,10,90,2,70,0,0,5,90,13,85,0,0,15,90,20,90,5,73,26,79,0,0,8,180,8,88,14,180,6,88,True,False,True,False
308,Salah,MID,134,125,LIV,211,5,76,5,85,5,90,8,90,10,90,10,90,1,73,15,90,16,90,8,90,2,90,16,90,5,90,5,90,3,66,13,90,3,90,7,90,3,90,16,90,0,0,0,0,0,0,0,0,11,46,0,0,0,0,1,29,0,0,7,90,1,59,8,90,2,90,3,106,1,11,13,90,2,90,6,90,True,False,False,False
353,Foden,MID,85,75,MCI,230,3,90,9,90,4,4,5,89,2,66,11,86,2,90,2,90,2,90,7,90,6,45,2,90,2,90,9,72,3,72,2,90,5,90,0,0,8,90,12,90,2,90,6,76,20,90,3,90,5,180,11,90,15,90,2,90,0,0,3,60,20,79,0,0,0,0,16,71,0,0,5,79,11,171,15,90,True,False,False,True
412,Gordon,MID,64,55,NEW,183,4,67,0,55,10,71,1,90,5,90,12,78,5,90,0,0,8,69,2,90,7,90,2,90,13,90,10,90,2,90,2,73,6,83,2,90,1,90,5,90,7,85,1,90,4,45,2,90,8,90,2,90,8,90,1,35,0,0,8,90,0,0,3,90,17,90,1,90,10,81,6,84,8,180,0,0,True,False,False,False
516,Son,MID,100,90,TOT,213,2,74,3,90,3,90,20,71,2,79,14,78,7,68,3,75,14,81,10,90,2,90,2,90,2,90,10,90,2,87,17,90,2,87,7,90,5,90,9,90,0,0,0,0,0,0,4,28,2,90,0,0,7,89,17,90,2,86,10,87,2,90,5,90,1,57,0,0,9,180,7,90,4,180,7,87,True,False,False,False
60,Watkins,FWD,89,80,AVL,228,5,90,5,73,5,85,2,72,5,90,9,90,23,90,5,90,11,90,2,90,2,90,6,90,5,90,11,90,1,89,2,90,9,90,2,90,2,90,8,90,1,90,7,90,18,90,2,90,13,90,9,90,13,90,2,90,2,90,1,45,0,0,13,90,7,90,9,90,2,90,2,90,5,90,2,68,True,False,False,False
355,Haaland,FWD,143,140,MCI,217,13,79,2,90,4,90,20,90,6,90,6,90,2,90,2,90,8,90,16,90,1,45,16,90,7,90,7,90,2,90,0,0,0,0,0,0,0,0,0,0,0,0,1,19,5,85,13,90,10,180,5,74,6,90,2,90,0,0,2,90,0,0,8,90,10,80,0,0,5,28,21,82,15,171,2,90,True,False,False,False
275,Leno,GK,48,45,FUL,133,12,90,2,90,5,90,0,90,6,90,10,90,1,90,2,90,2,90,3,90,3,90,2,90,2,90,1,90,6,90,9,90,3,90,1,90,0,90,1,90,2,90,8,90,1,90,3,90,1,90,3,90,8,90,1,90,7,90,1,90,1,90,3,90,9,90,2,90,3,90,6,90,1,90,2,90,False,True,False,False
232,Mateta,FWD,51,50,CRY,165,0,0,0,0,1,19,7,19,5,65,1,20,2,90,2,90,1,60,1,11,0,0,1,7,1,10,1,3,1,4,7,45,12,90,1,90,2,90,2,85,2,90,2,90,6,79,2,90,5,90,6,90,2,90,8,80,0,0,9,90,2,90,5,73,2,89,29,157,2,68,6,67,9,68,20,75,False,True,False,False
245,Branthwaite,DEF,45,40,EVE,124,0,0,0,0,1,90,0,90,2,90,1,90,1,90,6,90,1,90,8,90,1,90,1,90,1,90,9,90,6,90,5,90,0,0,1,90,0,90,1,90,6,90,5,90,8,90,1,90,2,90,9,90,1,90,1,90,0,0,1,90,2,90,6,90,-1,56,20,180,6,90,5,90,6,90,1,90,False,True,False,False
506,Pedro Porro,DEF,59,50,TOT,136,0,0,6,87,6,90,4,90,2,90,1,90,7,90,6,90,6,90,2,90,0,90,5,90,5,90,0,90,5,90,5,90,8,90,2,90,5,90,2,90,6,90,1,90,1,90,2,90,0,0,0,0,0,0,7,90,1,90,2,90,2,90,11,90,0,48,0,0,2,180,0,90,10,180,14,75,False,True,False,False
